FECHA,DEPARTAMENTO,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,EDAD,GENERO,CLASE BIEN,MARCA BIEN,LINEA,MODELO,COLOR,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,ESTADO CIVIL,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2014
02/01/2014 12:00:00 AM,VALLE,PALMIRA,Jueves,20:00,SANTA ANA,URBANA,VIAS PUBLICAS,43,FEMENINO,AUTOMOVIL,HYUNDAI,LINEA STANDARD,2007,PLATEADO,LLAVE MAESTRA,A PIE,VEHICULO,CASADO,NO REPORTADO,SECUNDARIA,76520000,1
02/01/2014 12:00:00 AM,VALLE,YUMBO,Jueves,17:22,ARROYOHONDO ZONA INDUSTRIAL (25-2),URBANA,VIAS PUBLICAS,54,MASCULINO,AUTOMOVIL,KIA,CERATO,2014,NEGRO,LLAVE MAESTRA,A PIE,A PIE,CASADO,ABOGADO,SUPERIOR,76892000,1
03/01/2014 12:00:00 AM,ANTIOQUIA,MARINILLA,Viernes,5:00,EL PORVENIR,URBANA,VIAS PUBLICAS,47,MASCULINO,AUTOMOVIL,CHEVROLET,SPRINT,1993,NO REPORTADO,LLAVE MAESTRA,A PIE,NO REPORTADO,CASADO,NO REPORTADO,SECUNDARIA,5440000,1
03/01/2014 12:00:00 AM,CUNDINAMARCA,SOACHA,Viernes,10:00,CENTRO,URBANA,VIAS PUBLICAS,27,FEMENINO,TRACTO_CAMION,CHEVROLET,BRIGADIER,2001,AZUL,ARMA BLANCA,VEHICULO,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,25754000,1
03/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,5:00,PUERTO MALLARINO E7,URBANA,VIAS PUBLICAS,52,MASCULINO,AUTOMOVIL,NISSAN,PATROL,1970,GRIS,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,TECNICO,76001000,1
03/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,7:00,EL CEDRO E19,URBANA,VIAS PUBLICAS,46,MASCULINO,AUTOMOVIL,CHEVROLET,SWIFT,1995,VERDE OSCURO,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
03/01/2014 12:00:00 AM,VALLE,CALI (CT),Viernes,15:15,QUINTAS DE SALOMIA E6,URBANA,VIAS PUBLICAS,28,MASCULINO,AUTOMOVIL,KIA,PICANTO,2012,ROJO,LLAVE MAESTRA,A PIE,A PIE,UNION LIBRE,NO REPORTADO,SUPERIOR,76001000,1
03/01/2014 12:00:00 AM,VALLE,YUMBO,Viernes,19:30,URIBE E25,URBANA,VIAS PUBLICAS,51,MASCULINO,AUTOMOVIL,MAZDA,3,2009,BLANCO,LLAVE MAESTRA,A PIE,A PIE,SOLTERO,NO REPORTADO,SECUNDARIA,76892000,1
05/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,11:30,LAS CEIBAS E7,URBANA,VIAS PUBLICAS,55,MASCULINO,AUTOMOVIL,RENAULT,R12,1979,VERDE,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,PRIMARIA,76001000,1
05/01/2014 12:00:00 AM,VALLE,CALI (CT),Domingo,20:00,LILI E17,URBANA,VIAS PUBLICAS,60,MASCULINO,CAMIONETA,TOYOTA,LAND CRUSER,1992,BEIGE,LLAVE MAESTRA,A PIE,A PIE,CASADO,NO REPORTADO,SUPERIOR,76001000,1
